,allergy_id,ingredient,products
0,a002,fish,Croquettes - Goya
1,a002,fish,Coldfish - Goya
2,a002,fish,"Goya, premium sardines in spicy oil"
3,a002,fish,Premium Sardines In Olive Oil - Goya
4,a002,fish,Select Spanish Olives Stuffed With Minced Anchovies - Goya
5,a002,fish,Premium sardines with lemon in oil - Goya
6,a002,fish,Sardines In Tomato Sauce - Goya
7,a002,fish,"Sardines in tomato sauce, tomato sauce - Goya"
8,a002,fish,"Goya, sardines in vegetable oil"
9,a002,fish,"Goya, codfish in biscayan sauce"
10,a002,fish,"Stuffed olives, minced tuna - Goya"
11,a002,fish,"Goya, bacalaitos codfish fritter mix"
12,a002,fish,"Goya, tinapa, sardines in tomato sauce"
13,a002,fish,"Goya, tinapa, sardines in hot tomato sauce, hot"
14,a002,fish,"Goya, macarela"
15,a001,egg,Mayo-ketchup - Goya
16,a001,egg,Ham Croquettes - Goya
17,a001,egg,Spinach empanadas - Goya
18,a001,egg,Croquettes - Goya
19,a001,egg,Authentic Style Rice Pilaf - Goya
20,a001,egg,Chicken Croquettes - Goya
21,a001,egg,Baked Beef Empanadas - Goya
22,a001,egg,Baked empanadas - Goya
23,a001,egg,Mayonnaise - Goya
24,a001,egg,"Goya, latin style bread crumbs"
25,a001,egg,Mexican Style Stuffed Peppers Rellenos - Goya
26,a001,egg,Tequenos South American Cheese Sticks - Goya
27,a003,shellfish,Octopus In Olive Oil - Goya
28,a003,shellfish,"Goya, premium mussels in pickled sauce"
29,a006,soybean,Soda Crackers - Goya
30,a006,soybean,Chicken Croquettes - Goya
31,a006,soybean,"Goya, Crackers"
32,a006,soybean,"Goya, Cracker Meal"
33,a006,soybean,"Goya, Hoppin' John Seasoned Rice With Blackeye Peas"
34,a006,soybean,"Goya, Crackers, Butter"
35,a006,soybean,"Goya, Snack Crackers"
36,a006,soybean,"Goya, Snack Crackers, Whole Wheat"
37,a006,soybean,"Rice & Pigeon Peas, Authentic Caribbean Recipe - Goya"
38,a006,soybean,Wafers - Goya
39,a006,soybean,Coconut Wafers - Goya
40,a006,soybean,"Wafers, Chocolate - Goya"
41,a006,soybean,Guava Waffers - Goya
42,a006,soybean,Ham Croquettes - Goya
43,a006,soybean,Croquettes - Goya
44,a006,soybean,"Goya, Latin Style Bread Crumbs"
45,a006,soybean,Discos Dough For Turnover Pastries - Goya
46,a006,soybean,Dough For Turnover Pastries - Goya
47,a006,soybean,"Mini Discos, Para Empanadas Dough - Goya"
48,a006,soybean,Maduros Ripe Plantains - Goya
49,a006,soybean,Ripe Plantains - Goya
50,a006,soybean,Mini Discos Dough For Turnover Pastries - Goya
51,a006,soybean,Chicken Flavored Rice - Goya
52,a006,soybean,Chocolate Wafers - Goya
53,a006,soybean,"Goya, Dough For Turnover Pastries"
54,a006,soybean,"Goya, Fiesta Rice With Wild Rice & Vegetables"
55,a006,soybean,"Goya, Country Style Rice & Cheese Sauce, Broccoli & Cheddar"
56,a004,milk,"Goya, country style rice & cheese sauce, broccoli & cheddar"
57,a004,milk,Jamaican Style Beef Patties - Goya
