,ingredient,products
0,milk,"Goya, country style rice & cheese sauce, broccoli & cheddar"
1,milk,Jamaican Style Beef Patties - Goya
3,milk,Ham Croquettes - Goya
4,milk,Cheese Croquettes - Goya
5,milk,Croquettes - Goya
7,milk,Chicken Croquettes - Goya
8,milk,Baked Beef Empanadas - Goya
9,milk,"Dulce De Leche, Milk Caramel Spread - Goya"
10,milk,Tequenos South American Cheese Sticks - Goya
11,milk,Chicken Empanadas - Goya
12,milk,Vitamin D Added Evaporated Milk - Goya
13,milk,"Goya, corn arepa filled with cheese"
14,milk,"Goya, sweet corn arepa filled with mozarella cheese"
15,milk,"Goya, yucca arepas filled with cheese"
16,milk,Milk Caramel Spread - Goya
17,milk,"Goya, latin style bread crumbs"
18,milk,Potato Puffs - Goya
19,milk,White Cheese - Goya
20,milk,"Goya, queso blanc"
21,milk,"Goya, pan molido bread crumbs"
23,milk,Mexican Style Stuffed Peppers Rellenos - Goya
24,milk,Leche de coco - Goya - 400 ml e
25,milk,Coconut Milk - Goya - 400 ml
26,milk,Cream Of Coconut - Goya
27,milk,Reduced Fat Coconut Milk - Goya
28,milk,Coconut Milk - Goya
30,milk,"Goya, coconut milk drink"
31,milk,"Goya, cream of beans with coconut"
32,milk,"Goya, premium green pigeon peas with coconut"
33,milk,Coconut Milk Drink - Goya
35,milk,Chorizo Croquettes - Goya
36,milk,Wafers - Goya
37,milk,Coconut water with chocolate - Goya
38,milk,"Goya, wafers duplex, vanilla, strawberry"
39,milk,Vanilla Wafers - Goya
40,milk,Mole - Goya
42,milk,"Chorizo Croquettes, Tasty Homestyle Chorizo Filled Delights - Goya"
82,milk,"Goya, wafers, dulce de leche"
83,milk,Cheese Empanadas - Goya
84,milk,"Goya, manchego cheese"
85,milk,Spinach empanadas - Goya
87,milk,"Goya, pupusas (stuffed corn tortillas), cheese"
88,milk,"Goya, rice primavera, spring vegetables & cheddar"
